,time_period,time_identifier,version,geographic_level,methodology_level,country_code,country_name,characteristic_group,characteristic,characteristic_gender,table,school_type,school_admission_type,school_religious_denomination,subject,qualification_type,subject_entry,Total_achieving_A*-G/9-1,Total_achieving_A*-C/9-4,Total_achieving_A-B,Total_achieving_A-E,Total_achieving_level_1_pass,Total_achieving_level_2_pass
139,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,D & T: Electronic Products,GCSE and equivalent,430,427,350,0,0,0,0
140,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,D & T: Electronic Products,GCSE and equivalent,4042,3966,2697,0,0,0,0
141,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,D & T: Electronic Products,GCSE and equivalent,4472,4393,3047,0,0,0,0
142,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,D & T: Graphic Products,GCSE,7236,7171,5465,0,0,0,0
143,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,D & T: Graphic Products,GCSE,12064,11651,6095,0,0,0,0
144,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,D & T: Graphic Products,GCSE,19300,18822,11560,0,0,0,0
145,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,D & T: Graphic Products,GCSE and equivalent,7236,7171,5465,0,0,0,0
146,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,D & T: Graphic Products,GCSE and equivalent,12064,11651,6095,0,0,0,0
147,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,D & T: Graphic Products,GCSE and equivalent,19300,18822,11560,0,0,0,0
148,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,D & T: Resistant Materials,GCSE,6821,6770,5173,0,0,0,0
149,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,D & T: Resistant Materials,GCSE,34176,33533,18779,0,0,0,0
150,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,D & T: Resistant Materials,GCSE,40997,40303,23952,0,0,0,0
151,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,D & T: Resistant Materials,GCSE and equivalent,6821,6770,5173,0,0,0,0
152,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,D & T: Resistant Materials,GCSE and equivalent,34176,33533,18779,0,0,0,0
153,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,D & T: Resistant Materials,GCSE and equivalent,40997,40303,23952,0,0,0,0
154,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,D & T: Systems & Control,GCSE,158,158,124,0,0,0,0
155,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,D & T: Systems & Control,GCSE,1401,1386,964,0,0,0,0
156,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,D & T: Systems & Control,GCSE,1559,1544,1088,0,0,0,0
157,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,D & T: Systems & Control,GCSE and equivalent,158,158,124,0,0,0,0
158,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,D & T: Systems & Control,GCSE and equivalent,1401,1386,964,0,0,0,0
159,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,D & T: Systems & Control,GCSE and equivalent,1559,1544,1088,0,0,0,0
160,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,D & T: Textiles Technology,GCSE,14592,14477,10770,0,0,0,0
161,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,D & T: Textiles Technology,GCSE,612,597,236,0,0,0,0
162,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,D & T: Textiles Technology,GCSE,15204,15074,11006,0,0,0,0
163,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,D & T: Textiles Technology,GCSE and equivalent,14592,14477,10770,0,0,0,0
164,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,D & T: Textiles Technology,GCSE and equivalent,612,597,236,0,0,0,0
165,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,D & T: Textiles Technology,GCSE and equivalent,15204,15074,11006,0,0,0,0
166,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Dance,GCSE,7607,7519,5433,0,0,0,0
167,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Dance,GCSE,618,609,374,0,0,0,0
